1,The Beatles,ngb2zf@virginia.edu,131-991-8778,Usually available for call on Tuesdays 10 to 4,4.4,199.99,we are a great band,38.0400823,-78.5199934,583 Brandon Ave Charlottesville VA 22903,
2,Queen,rjd9se@virginia.edu,798-129-2309,Call from 9 to 5 Monday through Friday,3.7,29.99,listen to us,38.0400823,-78.5199934,583 Brandon Ave Charlottesville VA 22903,
3,Pink Floyd,jwz2kn@virginia.edu,632-465-9071,Call from 10 to 3 Tuesday through Thursday,3.1,100.00,we are the best rock band,38.0400823,-78.5199934,583 Brandon Ave Charlottesville VA 22903,
4,The Killers,ngb2zf@virginia.edu,131-991-8770,Usually available for call on Wednesdays 10 to 4,4.7,19.99,we are a great band,38.0400812,-78.5199034,85 Engineer's Way Charlottesville VA 22903,
5,Kanye,rjd9se@virginia.edu,198-129-2309,Call from 9 to 1 Monday through Wednesday,3.0,39.99,listen to us,38.0400823,-78.5199934,85 Engineer's Way Charlottesville VA 22903,
6,Foo Fighters,jwz2kn@virginia.edu,632-465-9071,Call from 10 to 3 Tuesday through Thursday,2.9,33.89,we are the best rock band,38.0400823,-78.5199934,85 Engineer's Way Charlottesville VA 22903,
7,Dave Matthews Band,ngb2zf@virginia.edu,131-991-8778,Usually available for call on Thursdays 10 to 4,5.0,299.99,we are a great band,38.0400823,-78.5199934,85 Engineer's Way Charlottesville VA 22903,
8,My Chemical Romance,ngb2zf@virginia.edu,511-341-8778,Usually available for call on Thursdays 10 to 4,5.0,299.99,we are a great band,41.8806908,-87.6763646,United Center 1901 W Madison St Chicago IL 60612
9,Green Day,ngb2zf@virginia.edu,511-341-8778,Usually available for call on Thursdays 10 to 4,5.0,299.99,we are a great band,40.6892494,-74.0466891,Statue of Liberty National Monument New York NY 10004
10,Band,rjd9se@virginia.edu,795-129-2309,Call from 9 to 5 Monday through Friday,2.7,29.99,listen to us,37.4038142,-122.1162865,1600 Amphitheatre Parkway Mountain View CA
