1,Charlottesville Event Hosters,ngb2zf@virginia.edu,111-999-8888,Usually available for call on Mondays 8 to 4,4.4,
2,Albemarle County Entertainment,rjd9se@virginia.edu, 998-199-2009,Call from 9 to 5 Monday through Friday,3.7,
3,University of Virginia Student Council,jwz2kn@virginia.edu,432-765-9871,Call from 10 to 3 Tuesday through Thursday,3.1,
4,Virginia Tech,jwz2kn@virginia.edu,232-765-9871,Call from 10 to 3 Monday through Thursday,1.1,
5,University of Maryland,ngb2zf@virginia.edu,111-999-8778,Usually available for call on Mondays 8 to 4,0.4,
6,Cool Guys Event Hosters,rjd9se@virginia.edu, 998-199-2009,Call from 9 to 5 Monday through Friday,3.3,
7,Oracle,jwz2kn@virginia.edu,432-765-9871,Call from 10 to 3 Tuesday through Thursday,2.1,
8,Amazon,ngb2zf@virginia.edu,111-999-8888,Usually available for call on Mondays 8 to 4,4.4,
9,Google,rjd9se@virginia.edu, 998-199-2009,Call from 9 to 5 Monday through Friday,3.7,
10,University of Virginia Student Council,jwz2kn@virginia.edu,432-765-9871,Call from 10 to 3 Tuesday through Thursday,3.1,
